Universitas,Prodi,Rank,text
politeknik angkatan laut,farmasi,999.0,farmasi
sekolah tinggi agama kristen protestan negeri sentani,pendidikan agama kristen,999.0,pendidikan agama kristen
sekolah tinggi ilmu ekonomi tri dharma widya,akuntansi,999.0,akuntansi
universitas pasifik morotai,akuntansi,999.0,akuntansi
sekolah tinggi ilmu ekonomi ekadharma indonesia,akuntansi,999.0,akuntansi
stmik rosma,komputerisasi akuntansi,999.0,komputerisasi akuntansi
universitas pancasakti,farmasi,999.0,farmasi
akademi kebidanan farmako husada almuctari bogor,kebidanan,999.0,kebidanan
universitas muhammadiyah gorontalo,akuakultur,999.0,akuakultur
institut maritim prasetiya mandiri,budidaya perairan,999.0,budidaya perairan
institut al fithrah surabaya,ilmu tasawuf,999.0,ilmu tasawuf
politeknik unggulan cipta mandiri,perhotelan,999.0,perhotelan
universitas muhammadiyah bima,ilmu hukum,999.0,ilmu hukum
sekolah tinggi arsitektur ykpn yogyakarta,gambar arsitektur,999.0,gambar arsitektur
universitas tribhuwana tungga dewi,agribisnis,999.0,agribisnis
universitas sam ratulangi,sastra jerman,999.0,sastra jerman
universitas muhammadiyah aceh,arsitektur,999.0,arsitektur
universitas negeri semarang,statistika dan sains data,999.0,statistika dan sains data
politeknik pariwisata nhi bandung,pengelolaan usaha rekreasi,999.0,pengelolaan usaha rekreasi
politeknik pariwisata nhi bandung,usaha perjalanan wisata,999.0,usaha perjalanan wisata
politeknik perikanan negeri tual,teknologi hasil perikanan,999.0,teknologi hasil perikanan
politeknik kelautan dan perikanan bitung,teknik penangkapan ikan,999.0,teknik penangkapan ikan
universitas abdurrab,ilmu pemerintahan,999.0,ilmu pemerintahan
politeknik maritim eka utama subang,manajemen pelabuhan,999.0,manajemen pelabuhan
universitas satu nusa lampung,perhotelan,999.0,perhotelan
institut sayyid muhammad alawi al maliki,hukum ekonomi syariah,999.0,hukum ekonomi syariah
institut sayyid muhammad alawi al maliki,hukum keluarga islam,999.0,hukum keluarga islam
universitas abdurrab,psikologi,999.0,psikologi
universitas islam alaziziyah indonesia,ekonomi syariah,999.0,ekonomi syariah
