Universitas,Prodi,Jenjang,Status
"POLITEKNIK ANGKATAN LAUT, SURABAYA",FARMASI,D-III,PTKL
Universitas Brawijaya,Pendidikan Profesi Arsitek,Profesi,PTN
Sekolah Tinggi Agama Kristen Protestan Negeri Sentani,Pendidikan Agama Kristen,S1,PTAN
Universitas Lambung Mangkurat,Administrasi Bisnis,S2,PTN
Sekolah Tinggi Ilmu Ekonomi Tri Dharma Widya,Akuntansi,S1,03
Universitas Pasifik Morotai,Akuntansi,S1,12
Sekolah Tinggi Ilmu Ekonomi Ekadharma Indonesia,Akuntansi,S1,04
STMIK Rosma,Komputerisasi Akuntansi,D-III,04
"UNIVERSITAS PANCASAKTI, MAKASSAR",FARMASI,S1,09
"UNIVERSITAS MATARAM, MATARAM",PULMONOLOGI DAN KEDOKTERAN RESPIRASI,Spesialis,PTN
"AKADEMI KEBIDANAN FARMAKO HUSADA AL-MUCTARI BOGOR, BEKASI",KEBIDANAN,D-III,04
Sekolah Tinggi Teologi IKAT Jakarta,Kepemimpinan Kristen,S2,PTAS
Universitas Muhammadiyah Gorontalo,Akuakultur,S1,16
Institut Maritim Prasetiya Mandiri,Budidaya Perairan,D-III,02
Universitas Persada Indonesia Yai,Psikologi,S2,03
Universitas Kristen Duta Wacana,Teologi (Akademik),S3,05
Institut Al Fithrah Surabaya,Ilmu Tasawuf,S1,PTAS
Politeknik Unggulan Cipta Mandiri,Perhotelan,D-III,01
Universitas Muhammadiyah Bima,Ilmu Hukum,S1,08
Sekolah Tinggi Arsitektur YKPN Yogyakarta,Gambar Arsitektur,D-III,05
Universitas Tribhuwana Tungga Dewi,Agribisnis,S1,07
Universitas Sam Ratulangi,Sastra Jerman,S1,PTN
Universitas Muhammadiyah Aceh,Arsitektur,S1,13
Sekolah Tinggi Teologi Global Glow Indonesia Jakarta,Teologi,S3,PTAS
Universitas Negeri Semarang,Statistika Dan Sains Data,S1,PTN
Universitas Wahid Hasyim,Hukum Ekonomi Syari'ah (Muamalah),S2,06
Institut Teknologi Sepuluh November,Pendidikan Profesi Arsitek,Profesi,PTN
Universitas Sanata Dharma,Sastra,S2,05
Universitas Halu Oleo,Perencanaan Dan Pengembangan Wilayah,S2,PTN
Politeknik Pariwisata NHI Bandung,Pengelolaan Usaha Rekreasi,D-IV,PTKL
