Rank,University
189,Universitas Indonesia
224,Gadjah Mada University
255,Institut Teknologi Bandung (ITB)
=287,Universitas Airlangga
399,IPB University (aka Bogor Agricultural University)
=509,Institut Teknologi Sepuluh Nopember (ITS Surabaya)
=515,Universitas Padjadjaran (UNPAD)
=624,Diponegoro University
=680,Universitas Brawijaya
851-900,Bina Nusantara University (BINUS)
951-1000,Universitas Hasanuddin
1001-1200,Telkom University
1001-1200,Universitas Sebelas Maret
1001-1200,Universitas Sumatera Utara
1201-1400,Institut Teknologi Nasional Bandung (ITENAS Bandung)
1201-1400,Universitas Muhammadiyah Yogyakarta
1201-1400,Universitas Pendidikan Indonesia
1201-1400,Universitas Trisakti (USAKTI)
1201-1400,Universitas Negeri Yogyakarta
1401+,Atma Jaya Catholic University of Indonesia
1401+,Universitas Negeri Padang
1401+,State University of Malang (Universitas Negeri Malang)
1401+,Universitas Syiah Kuala
1401+,Universitas Andalas
1401+,Universitas Islam Indonesia
1401+,Petra Christian University
