Universitas,Prodi,Rank,text
politeknik angkatan laut,farmasi,999.0,Pharmacy
sekolah tinggi agama kristen protestan negeri sentani,pendidikan agama kristen,999.0,Christian Religious Education
sekolah tinggi ilmu ekonomi tri dharma widya,akuntansi,999.0,accountancy
universitas pasifik morotai,akuntansi,999.0,accountancy
sekolah tinggi ilmu ekonomi ekadharma indonesia,akuntansi,999.0,accountancy
stmik rosma,komputerisasi akuntansi,999.0,computerized accounting
universitas pancasakti,farmasi,999.0,Pharmacy
akademi kebidanan farmako husada almuctari bogor,kebidanan,999.0,midwifery
universitas muhammadiyah gorontalo,akuakultur,999.0,aquaculture
institut maritim prasetiya mandiri,budidaya perairan,999.0,aquaculture
institut al fithrah surabaya,ilmu tasawuf,999.0,Sufism
politeknik unggulan cipta mandiri,perhotelan,999.0,hospitality
universitas muhammadiyah bima,ilmu hukum,999.0,Legal studies
sekolah tinggi arsitektur ykpn yogyakarta,gambar arsitektur,999.0,architectural image
universitas tribhuwana tungga dewi,agribisnis,999.0,agribusiness
universitas sam ratulangi,sastra jerman,999.0,German literature
universitas muhammadiyah aceh,arsitektur,999.0,architecture
universitas negeri semarang,statistika dan sains data,999.0,Data Statistics and Science
politeknik pariwisata nhi bandung,pengelolaan usaha rekreasi,999.0,Recreational business management
politeknik pariwisata nhi bandung,usaha perjalanan wisata,999.0,travel agent
politeknik perikanan negeri tual,teknologi hasil perikanan,999.0,Fishery Product Technology
politeknik kelautan dan perikanan bitung,teknik penangkapan ikan,999.0,fishing techniques
universitas abdurrab,ilmu pemerintahan,999.0,public administration
politeknik maritim eka utama subang,manajemen pelabuhan,999.0,port management
universitas satu nusa lampung,perhotelan,999.0,hospitality
institut sayyid muhammad alawi al maliki,hukum ekonomi syariah,999.0,Islamic economic law
institut sayyid muhammad alawi al maliki,hukum keluarga islam,999.0,Islamic family law
universitas abdurrab,psikologi,999.0,psychology
universitas islam alaziziyah indonesia,ekonomi syariah,999.0,Islamic economy
politeknik negeri banyuwangi,destinasi pariwisata,999.0,tourism destination
universitas hkbp nommensen,teknologi hasil pertanian,999.0,Agricultural Product Technology
sekolah tinggi agama islam pelita nusa bandung barat,perbankan syariah,999.0,Shariah banking
sekolah tinggi agama islam pelita nusa bandung barat,ekonomi syariah,999.0,Islamic economy
universitas islam syekhyusuf,administrasi publik,999.0,Public Administration
sekolah tinggi agama islam dirosat islamiyah alhikmah jakarta,ilmu alquran dan tafsir,999.0,Quranic science and interpretation
sekolah tinggi agama islam dirosat islamiyah alhikmah jakarta,komunikasi dan penyiaran islam,999.0,Islam communication and broadcasting
institut al fithrah surabaya,komunikasi dan penyiaran islam,999.0,Islam communication and broadcasting
universitas diponegoro,ilmu perpustakaan dan informasi,8.0,Library and Information Science
politeknik statistika stis,komputasi statistik,999.0,statistical computing
politeknik sandi karsa,teknologi radiologi pencitraan,999.0,Imaging radiology technology
politeknik kesehatan kementerian kesehatan medan,kebidanan,999.0,midwifery
politeknik kesehatan kementerian kesehatan kendari,gizi dan dietetika,999.0,Gizan Dietetics
politeknik kesehatan kementerian kesehatan kalimantan timur,kebidanan,999.0,midwifery
institut kesehatan dan teknologi pondok karya pembangunan,keselamatan dan kesehatan kerja,999.0,occupational Health and Safety
universitas kristen indonesia paulus,sistem informasi,999.0,information Systems
universitas safin pati,sistem informasi,999.0,This information system before
sekolah tinggi teknologi bontang,sistem informasi,999.0,information Systems
universitas sipatokkong mambo,ilmu keperawatan,999.0,nursing Science
universitas sebelas maret,keperawatan anestesiologi,13.0,Anesthesiology Nursing
universitas sebelas maret,kedokteran,13.0,medical
universitas pembangunan nasional veteran jawa timur,kedokteran,999.0,medical
universitas muhammadiyah gombong,kebidanan,999.0,midwifery
universitas muhammadiyah banjarmasin,keperawatan,999.0,nursing
universitas muhammadiyah banjarmasin,keperawatan,999.0,nursing
universitas muhammadiyah banjarmasin,kebidanan,999.0,midwifery
universitas diponegoro,gizi,8.0,Nutrition
sekolah tinggi ilmu kesehatan pembina palembang,kesehatan masyarakat,999.0,public health
sekolah tinggi ilmu kesehatan panti waluya malang,manajemen informasi kesehatan,999.0,Health Information Management
sekolah tinggi ilmu kesehatan nasional,fisioterapi,999.0,physiotherapy
sekolah tinggi ilmu kesehatan bhakti husada mulia madiun,farmasi,999.0,Pharmacy
sekolah tinggi ilmu kesehatan bhakti husada mulia madiun,farmasi,999.0,Pharmacy
sekolah tinggi ilmu kesehatan baramuli,keperawatan,999.0,nursing
politeknik kesehatan kementerian kesehatan pontianak,teknologi laboratorium medis,999.0,Medical Laboratory Technology
politeknik kesehatan kementerian kesehatan jayapura,gizi,999.0,Nutrition
politeknik cendrawasih palu,manajemen informasi kesehatan,999.0,Health Information Management
